cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
AU,036,AUS,AUS,True,Oceania,False,7692024.0,25687041,AUS,officially-assigned,True,Australia and New Zealand
KN,659,KNA,SKN,True,Americas,False,261.0,53192,SKN,officially-assigned,True,Caribbean
GH,288,GHA,GHA,True,Africa,False,238533.0,31072945,GHA,officially-assigned,True,Western Africa
IQ,368,IRQ,IRQ,True,Asia,False,438317.0,40222503,IRQ,officially-assigned,True,Western Asia
VN,704,VNM,VIE,True,Asia,False,331212.0,97338583,VIE,officially-assigned,True,South-Eastern Asia
GY,328,GUY,GUY,True,Americas,False,214969.0,786559,GUY,officially-assigned,True,South America
AZ,031,AZE,AZE,True,Asia,True,86600.0,10110116,AZE,officially-assigned,True,Western Asia
CM,120,CMR,CMR,True,Africa,False,475442.0,26545864,CMR,officially-assigned,True,Middle Africa
EG,818,EGY,EGY,True,Africa,False,1002450.0,102334403,EGY,officially-assigned,True,Northern Africa
IS,352,ISL,ISL,True,Europe,False,103000.0,366425,ISL,officially-assigned,True,Northern Europe
VE,862,VEN,VEN,True,Americas,False,916445.0,28435943,VEN,officially-assigned,True,South America
BB,052,BRB,BAR,True,Americas,False,430.0,287371,BRB,officially-assigned,True,Caribbean
FK,238,FLK,,False,Americas,False,12173.0,2563,,officially-assigned,False,South America
MW,454,MWI,MAW,True,Africa,True,118484.0,19129955,MWI,officially-assigned,True,Eastern Africa
KG,417,KGZ,KGZ,True,Asia,True,199951.0,6591600,KGZ,officially-assigned,True,Central Asia
TW,158,TWN,TPE,False,Asia,False,36193.0,23503349,TPE,officially-assigned,False,Eastern Asia
BG,100,BGR,BUL,True,Europe,False,110879.0,6927288,BUL,officially-assigned,True,Southeast Europe
KP,408,PRK,PRK,True,Asia,False,120538.0,25778815,PRK,officially-assigned,True,Eastern Asia
AD,020,AND,AND,True,Europe,True,468.0,77265,AND,officially-assigned,True,Southern Europe
AO,024,AGO,ANG,True,Africa,False,1246700.0,32866268,ANG,officially-assigned,True,Middle Africa
BL,652,BLM,,False,Americas,False,21.0,4255,,officially-assigned,False,Caribbean
RU,643,RUS,RUS,True,Europe,False,17098242.0,144104080,RUS,officially-assigned,True,Eastern Europe
BF,854,BFA,BUR,True,Africa,True,272967.0,20903278,BFA,officially-assigned,True,Western Africa
VA,336,VAT,,True,Europe,True,0.44,451,,officially-assigned,False,Southern Europe
IM,833,IMN,,False,Europe,False,572.0,85032,,officially-assigned,False,Northern Europe
AF,004,AFG,AFG,True,Asia,True,652230.0,40218234,AFG,officially-assigned,True,Southern Asia
HR,191,HRV,CRO,True,Europe,False,56594.0,4047200,CRO,officially-assigned,True,Southeast Europe
BT,064,BTN,BHU,True,Asia,True,38394.0,771612,BHU,officially-assigned,True,Southern Asia
BY,112,BLR,BLR,True,Europe,True,207600.0,9398861,BLR,officially-assigned,True,Eastern Europe
CC,166,CCK,,False,Oceania,False,14.0,544,,officially-assigned,False,Australia and New Zealand
NZ,554,NZL,NZL,True,Oceania,False,270467.0,5084300,NZL,officially-assigned,True,Australia and New Zealand
MG,450,MDG,MAD,True,Africa,False,587041.0,27691019,MAD,officially-assigned,True,Eastern Africa
TH,764,THA,THA,True,Asia,False,513120.0,69799978,THA,officially-assigned,True,South-Eastern Asia
GE,268,GEO,GEO,True,Asia,False,69700.0,3714000,GEO,officially-assigned,True,Western Asia
IN,356,IND,IND,True,Asia,False,3287590.0,1380004385,IND,officially-assigned,True,Southern Asia
CN,156,CHN,CHN,True,Asia,False,9706961.0,1402112000,CHN,officially-assigned,True,Eastern Asia
PM,666,SPM,,False,Americas,False,242.0,6069,,officially-assigned,False,North America
PR,630,PRI,PUR,False,Americas,False,8870.0,3194034,PUR,officially-assigned,False,Caribbean
DJ,262,DJI,DJI,True,Africa,False,23200.0,988002,DJI,officially-assigned,True,Eastern Africa
SA,682,SAU,KSA,True,Asia,False,2149690.0,34813867,KSA,officially-assigned,True,Western Asia
