cca3,language,gender,demonym
IMN,eng,m,Manx
IMN,fra,f,
IMN,fra,m,
AFG,eng,f,Afghan
AFG,eng,m,Afghan
AFG,fra,f,Afghane
AFG,fra,m,Afghan
HRV,eng,f,Croatian
HRV,eng,m,Croatian
HRV,fra,f,Croate
HRV,fra,m,Croate
BTN,eng,f,Bhutanese
BTN,eng,m,Bhutanese
BTN,fra,f,Bhoutanaise
BTN,fra,m,Bhoutanais
BLR,eng,f,Belarusian
BLR,eng,m,Belarusian
BLR,fra,f,Biélorusse
BLR,fra,m,Biélorusse
CCK,eng,f,Cocos Islander
CCK,eng,m,Cocos Islander
CCK,fra,f,
CCK,fra,m,
NZL,eng,f,New Zealander
NZL,eng,m,New Zealander
NZL,fra,f,Neo-Zélandaise
NZL,fra,m,Neo-Zélandais
MDG,eng,f,Malagasy
MDG,eng,m,Malagasy
MDG,fra,f,Malgache
MDG,fra,m,Malgache
THA,eng,f,Thai
THA,eng,m,Thai
THA,fra,f,Thaïlandaise
THA,fra,m,Thaïlandais
GEO,eng,f,Georgian
GEO,eng,m,Georgian
GEO,fra,f,Géorgienne
GEO,fra,m,Géorgien
IND,eng,f,Indian
IND,eng,m,Indian
IND,fra,f,Indienne
IND,fra,m,Indien
CHN,eng,f,Chinese
CHN,eng,m,Chinese
CHN,fra,f,Chinoise
CHN,fra,m,Chinois
SPM,eng,f,"Saint-Pierrais, Miquelonnais"
SPM,eng,m,"Saint-Pierrais, Miquelonnais"
SPM,fra,f,"Saint-Pierraise, Miquelonaise"
SPM,fra,m,"Saint-Pierrais, Miquelonais"
PRI,eng,f,Puerto Rican
PRI,eng,m,Puerto Rican
PRI,fra,f,Portoricaine
PRI,fra,m,Portoricain
DJI,eng,f,Djibouti
DJI,eng,m,Djibouti
DJI,fra,f,Djiboutienne
DJI,fra,m,Djiboutien
SAU,eng,f,Saudi Arabian
SAU,eng,m,Saudi Arabian
SAU,fra,f,Saoudienne
SAU,fra,m,Saoudien
